ID_Vehiculo,Marca,Modelo,Año,Color,Combustible,Transmisión,Kilometraje,Precio_USD
VEH-0001,Honda,Accord,2024,Blanco,Diésel,Manual,302,60217
VEH-0002,Toyota,Yaris,2016,Blanco,Eléctrico,Automática,120796,31861
VEH-0003,Mercedes-Benz,Clase C,2012,Azul,Eléctrico,Manual,96162,66003
VEH-0004,Mercedes-Benz,Clase C,2022,Rojo,Gasolina,Manual,27976,73267
VEH-0005,BMW,Series 3,2011,Verde,Eléctrico,Automática,61193,49208
VEH-0006,Chevrolet,Captiva,2019,Gris Plata,Gasolina,Manual,76285,26314
VEH-0007,BMW,X5,2023,Negro,Gasolina,Automática,1633,58740
VEH-0008,BMW,Series 5,2024,Gris Plata,Diésel,Manual,3475,51250
VEH-0009,Ford,Ranger,2024,Azul,Diésel,Manual,1824,62142
VEH-0010,Honda,Accord,2012,Azul,Diésel,Manual,52520,37300
VEH-0011,Mercedes-Benz,GLC,2010,Negro,Eléctrico,Manual,170718,51019
VEH-0012,Nissan,X-Trail,2016,Gris Plata,Eléctrico,Manual,84615,23072
VEH-0013,Honda,HR-V,2022,Gris Plata,Híbrido,Manual,88553,34391
VEH-0014,BMW,X3,2016,Azul,Híbrido,Manual,143554,54655
VEH-0015,Ford,Focus,2010,Verde,Híbrido,Manual,29096,43693
VEH-0016,Mercedes-Benz,GLC,2020,Verde,Eléctrico,Automática,105350,41301
VEH-0017,Chevrolet,Silverado,2020,Gris Plata,Diésel,Manual,55937,37218
VEH-0018,Chevrolet,Tracker,2016,Blanco,Eléctrico,Automática,65887,29305
VEH-0019,Hyundai,Tucson,2013,Azul,Híbrido,Automática,30017,42045
VEH-0020,Chevrolet,Onix,2024,Rojo,Eléctrico,Manual,4308,59262
VEH-0021,Kia,Picanto,2022,Blanco,Diésel,Manual,107152,33136
VEH-0022,Toyota,Corolla,2014,Verde,Híbrido,Manual,21785,23240
VEH-0023,Nissan,Qashqai,2013,Verde,Eléctrico,Manual,123137,15142
VEH-0024,Volkswagen,Golf,2024,Gris Plata,Híbrido,Manual,1426,54743
VEH-0025,BMW,Series 5,2021,Verde,Diésel,Automática,184598,76894
VEH-0026,BMW,X5,2021,Rojo,Híbrido,Automática,68545,92789
VEH-0027,Kia,Sportage,2016,Gris Plata,Híbrido,Automática,129464,51418
VEH-0028,Honda,CR-V,2021,Negro,Gasolina,Manual,168292,63748
VEH-0029,BMW,Series 5,2022,Azul,Diésel,Manual,13162,77185
VEH-0030,Hyundai,Tucson,2023,Blanco,Eléctrico,Manual,2176,41610
VEH-0031,BMW,X5,2017,Negro,Eléctrico,Automática,189290,54522
VEH-0032,Mercedes-Benz,GLC,2015,Blanco,Híbrido,Automática,9788,58857
VEH-0033,Kia,Rio,2024,Azul,Gasolina,Manual,4207,18410
VEH-0034,Chevrolet,Tracker,2012,Azul,Diésel,Automática,158746,28783
